title,abstract,authors,year,doi,source,keywords,doc_type,citations,database,query
NLP-BASED FOLK STORY DOCUMENTATION SYSTEMS,"The folk tales are invaluable sources of cultural wisdom, language diversity and collective memory. Much of this intangible heritage is however in danger after the diminishing oral tradition and poor documentation mechanisms. This paper will introduce a NLP-based folk story documentation and preservation framework, which includes the state of the art natural language processing, semantic models as well as ontology-based cultural representations. The suggested pipeline works with multilingual and dialect-containing texts, handling them in a set of computational steps, which are text preprocessing, linguistic analysis, motif discovery, semantic annotation, and the development of the cultural knowledge graphs. Transformer-based models mbERT, IndicBERT and RoBERTa have been fine-tuned on language-specific tasks and BERTopic and TransE embeddings were used to perform thematic clustering and ontology alignment on the CIDOC-CRM schema. The outcomes of the evaluation showed that there were great improvements in linguistic accuracy (F1 = 0.91), motif classification (F1 = 0.83), and topic coherence (CV = 0.74) in comparison to the traditional baselines. The validation of the experts in the field of folklorists and linguists provided a Cultural Authenticity Index (CAI) of 0.87, which validated the interpretive reliability of the system. The acquired body of knowledge can be used to aid semantic querying, comparative motif analysis and cultural pattern recognition and hence convert the archives, which are normally static folklore collections, into smart, interactive ones. It finds applications in the digital heritage management, education, creative storytelling and cross-cultural analytics. Altogether, the framework contributes to a scaled and ethically justified method of the AI-assisted cultural preservation as the linguistic richness and narrative depth of the folk traditions can survive in the digital age. © 2025 The Author(s).","Srivastava, R.; Ramu, K.; Gandhi, A.; Shambharkar, S.S.; Ramtirthkar, C.R.; Lakshmanan, L.",2025,10.29121/shodhkosh.v6.i5s.2025.6879,ShodhKosh: Journal of Visual and Performing Arts,BERTopic; Cultural Heritage Preservation; Digital Humanities; Knowledge Graph; Multilingual Corpus; Ontology Alignment; Semantic Annotation; Transformer Models,Article,0,Scopus,R1
An automatic ontology construction approach for BIM-IoT semantic integration in intelligent operation and maintenance of high-speed railway stations,"The operation and maintenance (O&M) of high-speed railway stations in the field of Architecture, Engineering and Construction (AEC) require efficient data integration from multi-source heterogeneous data, including Building Information Modeling (BIM) data and Internet of Things (IoT) sensor data. However, due to differences in data formats, semantic levels, and temporal scales, the seamless integration of BIM and IoT data remains a significant challenge. To address this issue, this paper proposes a Web Ontology Language (OWL)-based semantic ontology automatic construction method for BIM and IoT data integration. By utilizing predefined rules and dynamic processing mechanisms, the proposed method efficiently extracts semantic ontology from both BIM and IoT data, thereby solving the semantic interoperability problem and minimizing the inefficiency of manual ontology construction. To validate the effectiveness of the method, simulation experiments were conducted using BIM data of a high-rise building and synthetic virtual IoT sensor data in the integrated O&M scenario of Shenzhenbei Railway Station. The results demonstrate that the proposed method can automatically generate ontology models that effectively support intelligent O&M, proving its feasibility and practical applicability in real-world scenarios. © 2025 IOP Publishing Ltd. All rights, including for text and data mining, AI training, and similar technologies, are reserved.","Li, Q.A.; Fang, H.",2025,10.1088/2631-8695/ae1c92,Engineering Research Express,"architecture, engineering and construction (AEC); BIM-IoT integration; intelligent operation and maintenance (O&M); ontology construction; semantic ontology",Article,0,Scopus,R1
Evaluating interoperability and data quality in FHIR-based AI assessment pipelines,"We present a comprehensive implementation and evaluation of a Fast Healthcare Interoperability Resources (FHIR)–based pipeline for patient-facing AI assessment. In this pipeline, patient-reported symptoms are ingested via a FHIR-compliant REST API as Observation resources, processed by an AI inference engine, and returned as structured FHIR output (e.g. Condition or DiagnosticReport resources). We performed a synthetic comparative study against a traditional, non-standardized data exchange approach (such as ad-hoc JSON or HL7 v2), measuring key metrics: data transmission latency, information completeness, and semantic integrity. Our results show that the FHIR pipeline yields substantially higher data completeness and fidelity (capturing nearly all required fields with correct coding) compared to the legacy format, at the cost of only modest increases in payload size and processing time. In numbers, the FHIR approach retained about 95% of required data fields versus ~70% for the custom pipeline, illustrating the benefit of standardized resource profiles. These findings align with prior work on FHIR-enabled data harmonization pipelines. We conclude that using FHIR standards significantly enhances data quality and interoperability for AI-driven patient assessment, providing a reusable blueprint for clinical AI system developers. All code for pipeline diagrams and performance charts (using Graphviz, Mermaid, Matplotlib, etc.) is made available to support reproducibility. © 2025 SPIE.","Kotov, Y.; Yavorska, E.; Tsupryk, H.; Dzierżak, R.; Reshetnik, O.; Bokovets, V.",2025,10.1117/12.3100561,Proceedings of SPIE - The International Society for Optical Engineering,artificial intelligence; generative language models; HL7 FHIR; interoperability; medical history (anamnesis); medical image management; service-oriented architecture,Conference paper,0,Scopus,R1
AI-BASED SEMANTIC TAGGING OF MODERN ART COLLECTIONS,"The proposed research will employ deep learning through multimodality and ontology-based reasoning to generate metadata of a modern art collection using an AI-based semantic tagging system. The system uses Vision Transformers (ViT) and BERT/CLIP encoders to pull out visual and textual embeddings and combine them using a contrastive learning method, and align them with cultural ontologies, like the CIDOC-CRM and the Art and Architecture Thesaurus (AAT). The resulting tags, an ontology-related, include aesthetic, emotional and conceptual aspects of works of art beyond traditional metadata domains. The quality of experimental results on 60,000-image dataset show that impressive gains are made over the baseline models, with Precision = 0.89, mAP = 0.88, and a Semantic Consistency Index of 0.91 showing that it is the most accurate model in terms of context and curatorial. Knowledge graph integration also allows cross-collection reasoning, smart retrieval and visually depicting curating. Cultural sensitivity and interpretive integrity is guaranteed by the ethical protection measures, such as human-in-the-loop validation and bias mitigation. The suggested framework opens the road to explainable and inclusive AI in the context of digital heritage, recreating the nature of modern art cataloguing, analysis, and experience in museum and research setting. © 2025 The Author(s).","Juneja, B.; Garg, A.; Pwaskar, P.; Dhawas, N.A.; Kumar, A.; Gupta, A.K.; Bhapkar, A.H.",2025,10.29121/shodhkosh.v6.i3s.2025.6777,ShodhKosh: Journal of Visual and Performing Arts,Digital Curation; Explainable AI; Knowledge Graph; Modern Art; Multimodal Learning; Ontology Alignment; Semantic Tagging,Article,0,Scopus,R1
LLM-AGR: Large Language Model Augmented Graph Representation Learning for Recommendation,"Graph neural networks have demonstrated substantial improvements in recommendation through user-item interaction modeling, but face critical limitations. Existing graph-based methods rely solely on structural patterns in interaction data, neglecting semantic information and being susceptible to noisy implicit feedback that can mislead models. Recent studies have explored denoising techniques and semantic integration approaches, but struggle to align heterogeneous information sources and identify genuine user preferences amid noise. Large Language Models (LLMs) possess extensive knowledge and reasoning capabilities, yet their potential for improving graph-based recommendation remains underexplored. In this paper, we introduce LLM-AGR, a framework leveraging LLMs to improve denoising in graph-based recommendation while augmenting representations with semantic knowledge. Our approach seamlessly integrates semantic representation learning with collaborative filtering signals through a dual knowledge distillation mechanism that bridges the gap between LLM-generated embeddings and graph-based representations. To address the noise challenge, LLM-AGR incorporates an adaptive graph structure learning component that dynamically identifies and filters noisy interactions while preserving essential collaborative patterns. We further strengthen this mechanism with information bottleneck regularization that balances information preservation with noise reduction. Extensive experiments on real-world datasets demonstrate that LLM-AGR consistently outperforms state-of-the-art methods across various metrics, showing particular advantages in sparse and noisy scenarios where both semantic understanding and noise filtering are crucial. The code is available at https://github.com/zhaxinji/LLM-AGR. © 2025 Elsevier B.V.","Zha, X.; Dong, Y.; Jiang, H.; Xu, Z.; Wang, C.",2025,10.1016/j.knosys.2025.114791,Knowledge-Based Systems,Alignment; Denoising; Graph neural networks; Large language models; Recommender systems,Article,2,Scopus,R1+R3
Enhancing Trait Thesauri Interoperability Using a Manual and Automated Alignment Approach,"Over the past decade, trait data collection and mobilisation have expanded significantly, yet much of this data remains only partially compliant with FAIR principles. A major challenge lies in the inconsistent use of standards for harmonising heterogeneous trait data, along with the diversity, redundancy, and poor alignment of semantic artefacts developed to address this challenge. This study presents an approach to enhance the interoperability of the Trait Thesauri developed within the LifeWatch Italy research infrastructure for annotating and standardising trait data and metadata of aquatic organisms. This approach combines manual and automated alignment techniques, tested within the 2023 Ontology Alignment Evaluation Initiative. Domain experts manually aligned the Phytoplankton, Zooplankton, Macroalgae, Macrozoobenthos, and Fish trait thesauri, while five matching tools, LogMap, LogMapKG, LogMapLt, Matcha, and OLaLa, were tested for automated mappings. Both approaches revealed significant overlap among thesauri: Manual mapping identified 160 cross-thesauri correspondences and served as a benchmark for evaluating automated matching systems. Automated tools showed variable performance, with OLaLa achieving the best automated alignment results, with an F-measure of 0.93. Challenges in alignment included varying linguistic expressions and differing levels of concept specificity. The results highlight the importance of combining automation with expert validation to ensure mapping quality and allowed the development of a unified Trait Thesaurus, which integrates approximately 500 harmonised concepts, reducing redundancy and enhancing FAIR compliance in ecological and trait-based research. © 2025 by the authors.","Titocci, J.; Pulieri, M.; Rosati, I.; Karam, N.",2025,10.3390/app152312484,Applied Sciences (Switzerland),FAIR; ontology alignment; semantic interoperability; semantic mapping; SKOS thesauri; species traits,Article,1,Scopus,R1
MAEVa: A hybrid approach for matching agroecological experiment variables,"Source variables or observable properties used to describe agroecological experiments are heterogeneous, nonstandardized, and multilingual, which makes them challenging to understand, explain, and use in cropping system modeling and multicriteria evaluations of agroecological system performance. Data annotation via a controlled vocabulary, known as candidate variables from the agroecological global information system (AEGIS), offers a solution. Text similarity measures play crucial roles in tasks such as word-sense disambiguation, schema matching in databases, and data annotation. Commonly used measures include (1) string-based similarity, (2) corpus-based similarity, (3) knowledge-based similarity, and (4) hybrid-based similarity, which combine two or more of these measures. This work presents a hybrid approach called Matching Agroecological Experiment Variables (MAEVa), which combines well-known techniques (PLMs, multi-head attention, TF–IDF) tailored to the challenges of aligning source and candidate variables in agroecology. MAEVa integrates the following components: (1) Our key innovation, which consists of extending pretrained language models (PLMs) (i.e., BERT, SBERT, SimCSE) with an external multi-head attention layer for matching variable names; (2) An analysis of the relevance and impact of various data collection techniques (snippet extraction, scientific articles) and prompt-based data augmentation on TF–IDF for matching variable descriptions; (3) A linear combination of components (1) and (2); and (4) A voting-based method for selecting the final matching results. Experimental results demonstrate that extending PLMs with an external multi-head attention layer improves the matching of variable names. Furthermore, TF–IDF benefits consistently from the presence of an enriched corpus, regardless of the specific enrichment technique employed. © 2025 The Author(s)","Mechhour, O.; Auzoux, S.; Jonquet, C.; Roche, M.",2025,10.1016/j.nlp.2025.100180,Natural Language Processing Journal,Corpus-based similarity; Hybrid-based similarity; Large Language Models (LLMs); Observable properties; Pretrained Language Models (PLMs),Article,0,Scopus,R1+R2B
Pretrained language models for semantics-aware data harmonisation of observational clinical studies in the era of big data,"Background: In clinical research, there is a strong drive to leverage big data from population cohort studies and routine electronic healthcare records to design new interventions, improve health outcomes and increase the efficiency of healthcare delivery. However, realising these potential demands requires substantial efforts in harmonising source datasets and curating study data, which currently relies on costly, time-consuming and labour-intensive methods. We explore and assess the use of natural language processing (NLP) and unsupervised machine learning (ML) to address the challenges of big data semantic harmonisation and curation. Methods: Our aim is to establish an efficient and robust technological foundation for the development of automated tools supporting data curation of large clinical datasets. We propose two AI based pipelines for automated semantic harmonisation: a pipeline for semantics-aware search for domain relevant variables and a pipeline for clustering of semantically similar variables. We evaluate pipeline performance using 94,037 textual variable descriptions from the English Longitudinal Study of Ageing (ELSA) database. Results: We observe high accuracy of our Semantic Search pipeline, with an AUC of 0.899 (SD = 0.056). Our semantic clustering pipeline achieves a V-measure of 0.237 (SD = 0.157), which is on par with that of leading implementations in other relevant domains. Automation can significantly accelerate the process of dataset harmonisation. Manual labelling was performed at a speed of 2.1 descriptions per minute, with our automated labelling increasing speed to 245 descriptions per minute. Conclusions: Our study findings underscore the potential of AI technologies, such as NLP and unsupervised ML, in automating the harmonisation and curation of big data for clinical research. By establishing a robust technological foundation, we pave the way for the development of automated tools that streamline the process, enabling health data scientists to leverage big data more efficiently and effectively in their studies and accelerating insights from data for clinical benefit. © The Author(s) 2025.","Dylag, J.J.; Zlatev, Z.; Boniface, M.",2025,10.1186/s12911-025-03055-y,BMC Medical Informatics and Decision Making,Artificial intelligence; Clustering; Data harmonisation; Dimensionality reduction; Pretrained language models; Semantic harmonisation; Semantic search; Sentence BERT; Unsupervised machine learning,Article,0,Scopus,R1
BASIL DB: bioactive semantic integration and linking database,"Background: Bioactive compounds found in foods and plants can provide health benefits, including antioxidant and anti-inflammatory effects. Research into their role in disease prevention and personalized nutrition is expanding, but challenges such as data complexity, inconsistent methods, and the rapid growth of scientific literature can hinder progress. To address these issues, we developed BASIL DB (BioActive Semantic Integration and Linking Database), a knowledge graph (KG) database that leverages natural language processing (NLP) techniques to streamline data organization and analysis. This automated approach offers greater scalability and comprehensiveness than traditional methods such as manual data curation and entry. Construction and content: The process of constructing the BASIL DB is divided into four fundamental steps: data collection, data preprocessing, data extraction, and data integration. Data on bioactives and foods are sourced from structured databases. The relevant randomized controlled trials (RCTs) were extracted from PubMed. The data are then prepared by cleaning inconsistencies and structuring them for analysis. In the data extraction phase, NLP tools, including a large language model (LLM), are utilized to analyze clinical trials and extract data on bioactive compounds and their health impacts. The integration phase compiles these data into a knowledge graph, which consists of the entities Foods, Bioactives, and Health Conditions as nodes and their interactions as edges. To quantify the relationships/interactions between these entities, we generate a weight for each edge on the basis of empirical evidence and methodological rigor. Utility and discussion: The BASIL DB incorporates 433 compounds, 40296 research papers, 7256 health effects, and 4197 food items. The database features query and visualization capabilities, including interactive graphs and custom filtering options, that showcase different aspects of the data. Users are able to explore the relationships between bioactives and health effects, enhancing both research efficiency and insight discovery. Conclusion: The BASIL DB is a knowledge graph database of bioactive compounds. This study provides a structured resource for exploring the relationships among bioactives, foods, and health outcomes, representing a step toward a more systematic and data-driven approach to understanding the health effects of bioactive compounds. Future work will focus on expanding the database and refining the utilized methods. Extending the BASIL DB will help bridge the gap between traditional and conventional approaches to nutrition, guiding future research in bioactive compound discovery and health optimization. Availability: Users can access and explore the data via https://basil-db.github.io/info.html or fork and run the respective script via https://github.com/basil-db/script. © The Author(s) 2025.","Jackson, D.; Groth, P.; Harmouch, H.",2025,10.1186/s13326-025-00336-3,Journal of Biomedical Semantics,Bioactive compounds; Clinical trials; Data integration; Evidence-based health; Knowledge graph; Natural language processing (NLP); PubMed,Article,0,Scopus,R1+R3
Evaluating language model embeddings for Parkinson’s disease cohort harmonization using a novel manually curated variable mapping schema,"Data Harmonization is an important yet time-consuming process. With the recent popularity of applications using Language Models (LMs) due to their high capabilities in text understanding, we investigated whether LMs could facilitate data harmonization for clinical use cases. To evaluate this, we created PASSIONATE, a novel Parkinson’s disease (PD) variable mapping schema as a ground truth source for pairwise cohort harmonization using LLMs. Additionally, we extended our investigation using an existing Alzheimer’s disease (AD) CDM. We computed text embeddings based on two language models to perform automated cohort harmonization for both AD and PD. We additionally compared the results to a baseline method using fuzzy string matching to determine the degree to which the semantic capabilities of language models can be utilized for automated cohort harmonization. We found that mappings based on text embeddings performed significantly better than those generated by fuzzy string matching, reaching an average accuracy of over 80% for almost all tested PD cohorts. When extended to a further neighborhood of possible matches, the accuracy could be improved to up to 96%. Our results suggest that language models can be used for automated harmonization with a high accuracy that can potentially be improved in the future by applying domain-trained models. © The Author(s) 2025.","Salimi, Y.; Adams, T.; Ay, M.C.; Balabin, H.; Jacobs, M.; Hofmann-Apitius, M.",2025,10.1038/s41598-025-06447-2,Scientific Reports,Alzheimer’s disease; Automatic data harmonization; Data stewardship; Large language models; Parkinson’s disease,Article,0,Scopus,R1
