id,snowball_type,tier,year,authors,title,doi,source_surveys,source_articles,in_corpus,corpus_rank,corpus_decision,priority,decision_snowball,notes,abstract,tri1,tri2,rank
SV-01,survey,1,2021,"Chen, Jiménez-Ruiz, Horrocks, Antonyrajah",Augmenting Ontology Alignment by Semantic Embedding and Distant Supervision,10.1007/978-3-030-77385-4_23,Cotovio_2023,,non,,,,,REVISE I4: LogMap/AML (reasoneurs symboliques actifs) + Siamese NN + embeddings. Comparable a BERTMap rank286. Q1=1 Q2=1 Q3=1 Q4=0.5 Q5=1 Q6=0.5 Total=4.5 pass=oui. OAEI + HeLiS/FoodOn.,"Ontology alignment plays a critical role in knowledge integration and has been widely investigated in the past decades. State of the art systems, however, still have considerable room for performance improvement especially in dealing with new (industrial) alignment tasks. In this paper we present a machine learning based extension to traditional ontology alignment systems, using distant supervision for training, ontology embedding and Siamese Neural Networks for incorporating richer semantics. We have used the extension together with traditional systems such as LogMap and AML to align two food ontologies, HeLiS and FoodOn, and we found that the extension recalls many additional valid mappings and also avoids some false positive mappings. This is also verified by an evaluation on alignment tasks from the OAEI conference track.",inclus,inclus,SV01
SV-02,survey,1,2020,"Sun, Wang, Hu, Chen, Dai, Zhang, Qu",Knowledge Graph Alignment Network with Gated Multi-Hop Neighborhood Aggregation,10.1609/aaai.v34i01.5354,Cotovio_2023,,non,,,,,I4 echoue: AliNet = GNN pur (attention + gating mechanism). Pas de raisonnement symbolique actif. Ontologie non utilisee.,"Graph neural networks (GNNs) have emerged as a powerful paradigm for embedding-based entity alignment due to their capability of identifying isomorphic subgraphs. However, in real knowledge graphs (KGs), the counterpart entities usually have non-isomorphic neighborhood structures, which easily causes GNNs to yield different representations for them. To tackle this problem, we propose a new KG alignment network, namely AliNet, aiming at mitigating the non-isomorphism of neighborhood structures in an end-to-end manner. As the direct neighbors of counterpart entities are usually dissimilar due to the schema heterogeneity, AliNet introduces distant neighbors to expand the overlap between their neighborhood structures. It employs an attention mechanism to highlight helpful distant neighbors and reduce noises. Then, it controls the aggregation of both direct and distant neighborhood information using a gating mechanism. We further propose a relation loss to refine entity representations. We perform thorough experiments with detailed ablation studies and analyses on five entity alignment datasets, demonstrating the effectiveness of AliNet.",inclus,exclu_I4,
SV-03,survey,1,2021,"Trojahn, Vieira, Schmidt, Pease",Foundational Ontologies Meet Ontology Matching: A Survey,10.3233/sw-210447,Portisch_2025,,non,,,,,,"Ontology matching is a research area aimed at finding ways to make different ontologies interoperable. Solutions to the problem have been proposed from different disciplines, including databases, natural language processing, and machine learning. The role of foundational ontologies for ontology matching is an important one, as they provide a well-founded reference model that can be shared across domains. It is multifaceted and with room for development. This paper presents an overview of the different tasks involved in ontology matching that consider foundational ontologies. We discuss the strengths and weaknesses of existing proposals and highlight the challenges to be addressed in the future.",exclu_E5_survey,,
SV-04,survey,1,2020,"Riegel, Gray, Luus, Khan, Makondo, Akhalwaya, Qian, Fagin, Barahona, Sharma, Ikbal, Karanam, Neelam, Likhyani, Srivastava",Logical Neural Networks,10.48550/arxiv.2006.13155,Cotovio_2023,,oui,132; 389,exclude,,,,"We propose a novel framework seamlessly providing key properties of both neural nets (learning) and symbolic logic (knowledge and reasoning). Every neuron has a meaning as a component of a formula in a weighted real-valued logic, yielding a highly intepretable disentangled representation. Inference is omnidirectional rather than focused on predefined target variables, and corresponds to logical reasoning, including classical first-order logic theorem proving as a special case. The model is end-to-end differentiable, and learning minimizes a novel loss function capturing logical contradiction, yielding resilience to inconsistent knowledge. It also enables the open-world assumption by maintaining bounds on truth values which can have probabilistic semantics, yielding resilience to incomplete knowledge.",exclu_E1_pas_tache_matching,,
SV-05,survey,1,2021,"Zhang, Chen, Zhang, Ke, Ding","Neural, Symbolic and Neural-Symbolic Reasoning on Knowledge Graphs",10.1016/j.aiopen.2021.03.001,Cheng_2024,,non,,,,,= BT-17,"Knowledge graph reasoning is the fundamental component to support machine learning applications such as information extraction, information retrieval, and recommendation. Since knowledge graphs can be viewed as the discrete symbolic representations of knowledge, reasoning on knowledge graphs can naturally leverage the symbolic techniques. However, symbolic reasoning is intolerant of the ambiguous and noisy data. On the contrary, the recent advances of deep learning have promoted neural reasoning on knowledge graphs, which is robust to the ambiguous and noisy data, but lacks interpretability compared to symbolic reasoning. Considering the advantages and disadvantages of both methodologies, recent efforts have been made on combining the two reasoning methods. In this survey, we take a thorough look at the development of the symbolic, neural and hybrid reasoning on knowledge graphs. We survey two specific reasoning tasks — knowledge graph completion and question answering on knowledge graphs, and explain them in a unified reasoning framework. We also briefly discuss the future directions for knowledge graph reasoning.",exclu_E5_survey,,
SV-06,survey,1,2022,"Kaoudi, Martinez Lorenzo, Markl",Towards Loosely-Coupling Knowledge Graph Embeddings and Ontology-based Reasoning,,DeLong_2025,,non,,,,,= BT-05,"Knowledge graph completion (a.k.a.~link prediction), i.e.,~the task of inferring missing information from knowledge graphs, is a widely used task in many applications, such as product recommendation and question answering. The state-of-the-art approaches of knowledge graph embeddings and/or rule mining and reasoning are data-driven and, thus, solely based on the information the input knowledge graph contains. This leads to unsatisfactory prediction results which make such solutions inapplicable to crucial domains such as healthcare. To further enhance the accuracy of knowledge graph completion we propose to loosely-couple the data-driven power of knowledge graph embeddings with domain-specific reasoning stemming from experts or entailment regimes (e.g., OWL2). In this way, we not only enhance the prediction accuracy with domain knowledge that may not be included in the input knowledge graph but also allow users to plugin their own knowledge graph embedding and reasoning method. Our initial results show that we enhance the MRR accuracy of vanilla knowledge graph embeddings by up to 3x and outperform hybrid solutions that combine knowledge graph embeddings with rule mining and reasoning up to 3.5x MRR.",exclu_E1_KG_completion,,
SV-07,survey,1,2021,"Nitisha Jain, Trung-Kien Tran, Mohamed H. Gad-Elrab, Daria Stepanova",Improving Knowledge Graph Embeddings with Ontological Reasoning,10.1007/978-3-030-88361-4_24,DeLong_2025,,non,,,,,,"Knowledge graph (KG) embedding models have emerged as powerful means for KG completion. To learn the representation of KGs, entities and relations are projected in a low-dimensional vector space so that not only existing triples in the KG are preserved but also new triples can be predicted. Embedding models might learn a good representation of the input KG, but due to the nature of machine learning approaches, they often lose the semantics of entities and relations, which might lead to nonsensical predictions. To address this issue we propose to improve the accuracy of embeddings using ontological reasoning. More specifically, we present a novel iterative approach ReasonKGE that identifies dynamically via symbolic reasoning inconsistent predictions produced by a given embedding model and feeds them as negative samples for retraining this model.",exclu_E1_KG_completion,,
SV-08,survey,1,2021,"Cheng, Yang, Zhang, Sun",UniKER: A Unified Framework for Combining Embedding and Definite Horn Rule Reasoning for Knowledge Graph Inference,10.18653/v1/2021.emnlp-main.769,DeLong_2025,,non,,,,,,"Knowledge graph inference has been studied extensively due to its wide applications. It has been addressed by two lines of research, i.e., the more traditional logical rule reasoning and the more recent knowledge graph embedding (KGE). Several attempts have been made to combine KGE and logical rules for better knowledge graph inference. Unfortunately, they either simply treat logical rules as additional constraints into KGE loss or use probabilistic models to approximate the exact logical inference (i.e., MAX-SAT). Even worse, both approaches need to sample ground rules to tackle the scalability issue, as the total number of ground rules is intractable in practice, making them less effective in handling logical rules. In this paper, we propose a novel framework UniKER to address these challenges by restricting logical rules to be definite Horn rules, which can fully exploit the knowledge in logical rules and enable the mutual enhancement of logical rule-based reasoning and KGE in an extremely efficient way. Extensive experiments have demonstrated that our approach is superior to existing state-of-the-art algorithms in terms of both efficiency and effectiveness.",exclu_E1_KG_completion,,
SV-09,survey,1,2022,"Cheng, Liu, Wang, Sun",RLogic: Recursive Logical Rule Learning from Knowledge Graphs,10.1145/3534678.3539421,Cheng_2024,,non,,,,,,"Logical rules are widely used to represent domain knowledge and hypothesis, which is fundamental to symbolic reasoning-based human intelligence. Very recently, it has been demonstrated that integrating logical rules into regular learning tasks can further enhance learning performance in a label-efficient manner. Many attempts have been made to learn logical rules automatically from knowledge graphs (KGs). However, a majority of existing methods entirely rely on observed rule instances to define the score function for rule evaluation and thus lack generalization ability and suffer from severe computational inefficiency. Instead of completely relying on rule instances for rule evaluation, RLogic defines a predicate representation learning-based scoring model, which is trained by sampled rule instances. In addition, RLogic incorporates one of the most significant properties of logical rules, the deductive nature, into rule learning, which is critical especially when a rule lacks supporting evidence. To push deductive reasoning deeper into rule learning, RLogic breaks a big sequential model into small atomic models in a recursive way. Extensive experiments have demonstrated that RLogic is superior to existing state-of-the-art algorithms in terms of both efficiency and effectiveness.",exclu_E1_KG_reasoning,,
SV-10,survey,1,2023,"Cheng, Ahmed, Sun",Neural Compositional Rule Learning for Knowledge Graph Reasoning,10.48550/arxiv.2303.03581,Cheng_2024,,non,,,,,= BT-15,"Learning logical rules is critical to improving reasoning in KGs. This is due to their ability to provide logical and interpretable explanations when used for predictions, as well as their ability to generalize to other tasks, domains, and data. While recent methods have been proposed to learn logical rules, the majority of these methods are either restricted by their computational complexity and can not handle the large search space of large-scale KGs, or show poor generalization when exposed to data outside the training set. In this paper, we propose an end-to-end neural model for learning compositional logical rules called NCRL. NCRL detects the best compositional structure of a rule body, and breaks it into small compositions in order to infer the rule head. By recurrently merging compositions in the rule body with a recurrent attention unit, NCRL finally predicts a single rule head. Experimental results show that NCRL learns high-quality rules, as well as being generalizable. Specifically, we show that NCRL is scalable, efficient, and yields state-of-the-art results for knowledge graph completion on large-scale KGs. Moreover, we test NCRL for systematic generalization by learning to reason on small-scale observed graphs and evaluating on larger unseen ones.",exclu_E1_KG_reasoning,,
