title,abstract,authors,year,doi,source,keywords,doc_type,citations,database,query
CDE-Mapper: Using retrieval-augmented language models for linking clinical data elements to controlled vocabularies,,"Gilani, Komal and Verket, Marlo and Peters, Christof and Dumontier, Michel and Rocca, Hans-Peter Brunner-La and Urovi, Visara",2025,10.1016/j.compbiomed.2025.110745,Comput. Biol. Med.,"Clinical data elements, Retrieval-Augmented Generation, Metadata standardization, Tabular data annotation, Controlled vocabularies",Journal Article,,ACM,R1
GeoKGM: A Multimodal Large Language Model for Zero-Shot Knowledge Graph Completion in Geospatial Databases,"Geospatial Knowledge Graphs (KGs) are widely used data structures that integrate rich knowledge from multi-source databases and play a crucial role in applications such as data retrieval and urban management. However, existing methods for Geospatial Knowledge Graph Completion (KGC) heavily rely on extensive labeled data and lack the ability to direct inference on new unlabeled geospatial databases and thus limiting their practical deployment. To address this limitation, this paper first formalizes a novel zero-shot transfer scenario and then proposes an innovative geospatial multimodal large language model framework capable of efficient Geospatial KGC with robust zero-shot generalization capabilities. Specifically, to enable effective direct inference under significant data discrepancies inherent in zero-shot scenarios, we introduce large language models (LLMs) into the geospatial KGC problem for the first time and redefine the multimodal data processing paradigm for geospatial LLMs. Next, to overcome the challenge that LLMs cannot directly handle geospatial data, we innovatively propose a Pretrain Geospatial Encoder that performs self-supervised pretraining exclusively on spatial data. Additionally, to integrate geospatial and textual modalities, we design an adaptation component that injects geospatial features into the LLMs and introduce a multi-task fine-tuning procedure. Lastly, to ensure robustness across multi-target domain scenarios, we present an implicit data alignment strategy based on adversarial learning. Extensive evaluations conducted on four real-world datasets demonstrate that our method significantly outperforms state-of-the-art approaches in terms of accuracy and robustness.","Zheng, Zhihan and Yuan, Haitao and Chen, Minxiao and Jiang, Nan and Wang, Haoning and Wang, Shangguang",2025,10.1145/3769796,Proc. ACM Manag. Data,"domain transfer, geospatial database, multimodal large language models, zero-shot learning",Journal Article,,ACM,R1
SMUTF: Schema Matching Using Generative Tags and Hybrid Features,,"Zhang, Yu and Mei, Di and Luo, Haozheng and Xu, Chenwei and Tsai, Richard Tzong-Han",2025,10.1016/j.is.2025.102570,Inf. Syst.,"Schema matching, Large language model, Tabular data, Data merging",Journal Article,,ACM,R1
OLaLa: Ontology Matching with Large Language Models,"Ontology (and more generally: Knowledge Graph) Matching is a challenging task where information in natural language is one of the most important signals to process. With the rise of Large Language Models, it is possible to incorporate this knowledge in a better way into the matching pipeline. A number of decisions still need to be taken, e.g., how to generate a prompt that is useful to the model, how information in the KG can be formulated in prompts, which Large Language Model to choose, how to provide existing correspondences to the model, how to generate candidates, etc. In this paper, we present a prototype that explores these questions by applying zero-shot and few-shot prompting with multiple open Large Language Models to different tasks of the Ontology Alignment Evaluation Initiative (OAEI). We show that with only a handful of examples and a well-designed prompt, it is possible to achieve results that are en par with supervised matching systems which use a much larger portion of the ground truth.","Hertling, Sven and Paulheim, Heiko",2023,10.1145/3587259.3627571,Proceedings of the 12th Knowledge Capture Conference 2023,"Entity Resolution, Large Language Model, Ontology Matching",Conference Paper,,ACM,R1
GRAM: Generative Retrieval Augmented Matching of Data Schemas in the Context of Data Security,"Schema matching constitutes a pivotal phase in the data ingestion process for contemporary database systems. Its objective is to discern pairwise similarities between two sets of attributes, each associated with a distinct data table. This challenge emerges at the initial stages of data analytics, such as when incorporating a third-party table into existing databases to inform business insights. Given its significance in the realm of database systems, schema matching has been under investigation since the 2000s. This study revisits this foundational problem within the context of large language models. Adhering to increasingly stringent data security policies, our focus lies on the zero-shot and few-shot scenarios: the model should analyze only a minimal amount of customer data to execute the matching task, contrasting with the conventional approach of scrutinizing the entire data table. We emphasize that the zero-shot or few-shot assumption is imperative to safeguard the identity and privacy of customer data, even at the potential cost of accuracy. The capability to accurately match attributes under such stringent requirements distinguishes our work from previous literature in this domain.","Liu, Xuanqing and Wang, Runhui and Song, Yang and Kong, Luyang",2024,10.1145/3637528.3671602,Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,"generative modeling, retrieval augmented generation, schema matching",Conference Paper,,ACM,R1
Research on Construction and Application of Knowledge Graph in Science and Technology Field Based on Large Language Model,"In recent years, large language models have been widely used in the field of knowledge graph. The construction of traditional knowledge graph depends on the experience of domain experts, which is time-consuming and inefficient. Therefore, This paper proposes a construction method that combines intelligent agents with thought chains and self verification, by gradually guiding large models to extract knowledge and verifying it with other models. On this basis, QLoRA is used to fine tune the model. Realize an efficient and automated knowledge graph building process. Invite domain experts to verify the constructed map, so as to ensure the accuracy and integrity of the knowledge graph in semantics and structure.","Wang, Yuze and Shi, Mingxiang and Qin, Xiulei and Kang, Yao and Wang, Zichen",2025,10.1145/3756580.3756635,"Proceedings of the 2025 6th International Conference on Education, Knowledge and Information Management","Knowledge Graph, Large Language Model, Prompt Technology, QLoRA, Science and Technology Field",Conference Paper,,ACM,R1
Towards Scalable Schema Mapping using Large Language Models,"The growing need to integrate information from many diverse sources poses significant scalability challenges for data integration systems. These systems often rely on manually written schema mappings, which are complex and costly to maintain. While recent advances suggest that large language models (LLMs) can assist in automating schema mapping, key challenges remain. We motivate future research in schema mapping generation by highlighting key challenges, presenting a competitive bidirectional schema matching pipeline, and exploring the limitations of current methods for generating more complex mappings.","Buss, Christopher and Safari, Mahdis and Termehchy, Arash and Maier, David and Lee, Stefan",2025,10.1145/3737412.3743490,Proceedings of the 1st Workshop Connecting Academia and Industry on Modern Integrated Database and AI Systems,"Data Integration, Generative AI",Conference Paper,,ACM,R1
Enhancing Autism Spectrum Disorder identification in multi-site MRI imaging: A multi-head cross-attention and multi-context approach for addressing variability in un-harmonized data,,"Jha, Ranjeet Ranjan and Muralie, Arvind and Daroch, Munish and Bhavsar, Arnav and Nigam, Aditya",2024,10.1016/j.artmed.2024.102998,Artif. Intell. Med.,"fMRI, Autism Spectrum Disorder, Multi-head attention, Multi-context module, Residual block, ABIDE",Journal Article,,ACM,R1
Semantic Solutions for Democratizing Archaeological and Numismatic Data Analysis,"Museums, heritage agencies and other institutions responsible for managing archaeological cultural heritage across Europe are engaged in developing digital platforms to better open their collections to the public as a common resource for the purposes of discovering, learning about, and sharing our common past. This paper explores the potential of new semantic computing technologies in democratizing not only public access to digital cultural heritage records, but also to computational and Linked Open Data -assisted data analysis and knowledge discovery. As a case study, we consider archaeological and numismatic Open Data services in Finland, and discuss the research results obtained during the ongoing development work for the CoinSampo framework for opening Finnish and international numismatic data. Existing digital cultural heritage services are often built with the needs of professional collections management in mind. The presentation of the records is typically structured after the familiar format established for the printed catalogues of yesteryear, with few analytical tools that would take advantage of the potential of digital data to probe and visualize internal relationships and patterns within the full body of the opened material. CoinSampo, however, will provide scientific tools to new audiences among the non-professional public who have not enjoyed such a level of access to numismatic data. The broad range of target audiences we envisage includes collections managers, who will benefit from enhanced access to their own data for updating records and for error detection and correction, as well as academic researchers interested in using the material in scientific analysis. Importantly, it also includes non-professional groups such as coin collectors, educators, local historians, and the archaeological hobby metal-detectorists who produce most of the new coin finds entering the national collections in Finland and in other European countries where detecting is legal. By adopting a citizen science and participatory heritage approach in the development of Open Data services, we aim to promote a technological model for cultural heritage dissemination that addresses the needs of a wide spectrum of different user audiences inside and outside the professional sphere.","Oksanen, Eljas and Ehrnsten, Frida and Rantala, Heikki and Hyv\""onen, Eero",2024,10.1145/3625302,J. Comput. Cult. Herit.,"numismatics, semantic web, Linked Open Data, archaeology, collections management, data analysis, digital humanities",Journal Article,,ACM,R1
MUSE: A Multi-slice Joint Analysis Method for Spatial Transcriptomics Experiments,"Recent advances in spatial transcriptomics (ST) and cost reductions have enabled large-scale multi-slice ST data generation, enhancing the statistical power to detect subtle biological signals. However, cross-slice inconsistencies and data quality variability present significant analytical challenges. To overcome these limitations, we developed MUSE, a computational framework designed for multi-slice joint embedding, spatial domain identification, and gene expression imputation. Specifically, MUSE integrates a two-module architecture to ensure robust cross-slice alignment and data harmonization. The alignment module models each slice as a graph and employs optimal transport to align cells across slices while preserving spatial continuity. The optimization module further refines integration by incorporating an alignment loss, allowing lower-quality data to leverage structural information from higher-quality slices. Additionally, MUSE generates virtual neighbors from aligned cells, enriching contextual information and mitigating data sparsity. These design principles enable seamless integration with existing single-slice methods, extending their applicability to multi-slice ST analysis. To comprehensively evaluate its performance, we applied MUSE to 12 real and 48 simulated datasets spanning a range of data qualities. Across all metrics, MUSE consistently outperformed existing methods in cross-slice consistency, spatial domain identification, and gene expression imputation. To promote accessibility and adoption, we provide MUSE as an open-source software package. As multi-slice ST datasets become increasingly prevalent, MUSE provides a robust and extensible framework designed to effectively integrate growing numbers of slices, thereby advancing the analysis of tissue architectures and spatial gene expression in complex biological systems.","Duan, Ziheng and Li, Xi and Xiao, Zhiqing and Ying, Rex and Zhang, Jing",2025,10.1145/3746252.3761240,Proceedings of the 34th ACM International Conference on Information and Knowledge Management,"gene expression imputation, multi-slice joint analysis, optimal transport, spatial domain identification, spatial transcriptomics",Conference Paper,,ACM,R1
